Membership No  Date Joined  Active  
    60267      2019-6-3     no    
    14935      2015-12-10   no    
    59920      2015-9-8     no    
    74305      2020-4-5     no    
    35527      2020-7-21    yes   
    27072      2017-10-12   no    
    35395      2019-9-5     no    
    51122      2016-11-16   no    
    90034      2020-6-16    yes   
    46257      2020-7-4     no    
    69703      2017-4-1     no    
    80435      2016-9-16    yes   
    21247      2019-11-1    yes   
    25330      2015-4-18    no    
    82470      2020-9-18    no    
    72576      2018-9-5     no    
    14900      2019-5-10    yes   
    91983      2016-1-21    yes   
    80049      2020-3-19    no    
    37842      2018-6-15    yes   
